,Sport Identifier,Match Info,Outcome,Player Name,Player Stat
395,sspz8,SEA 91 vs DAL 95 - 5/26/23 10:00PM,NT6cP,Jewell Loyd,Lower  - 21.5 Points
396,sspz8,SEA 91 vs DAL 95 - 5/26/23 10:00PM,o3o4E,Ezi Magbegor,Higher  - 10.5 Points
397,sspz8,DAL 95 @ SEA 91 - 5/26/23 10:00PM,NT6cP,Satou Sabally,Lower  - 16.0 Points
398,sspz8,WSH 71 @ CHI 69 - 5/26/23 8:00PM,NT6cP,Elena Delle Donne,Lower  - 20.0 Points
399,sspz8,CHI 69 vs WSH 71 - 5/26/23 8:00PM,o3o4E,Kahleah Copper,Lower  - 18.5 Points
400,sspz8,DAL 95 @ SEA 91 - 5/26/23 10:00PM,NT6cP,Arike Ogunbowale,Lower  - 22.5 Points
401,sspz8,SAM 2 vs SAS 2 - 5/26/23 2:45PM,o3o4E,Manolo Gabbiadini,Higher  - 2.5 Shots Attempted
402,sspz8,SAS 2 @ SAM 2 - 5/26/23 2:45PM,o3o4E,Domenico Berardi,Higher  - 3.0 Shots Attempted
403,sspz8,SAS 2 @ SAM 2 - 5/26/23 2:45PM,o3o4E,Andrea Pinamonti,Higher  - 2.0 Shots Attempted
404,sspz8,TEX 12 @ BAL 2 - 5/26/23 7:05PM,,Marcus Semien,Higher  - 2.0 Hits + Runs + RBIs
405,sspz8,SF 15 @ MIL 1 - 5/26/23 8:10PM,o3o4E,Mitch Haniger,Higher  - 0.5 Hits
406,sspz8,TB 9 vs LAD 3 - 5/26/23 6:40PM,o3o4E,Wander Franco,Higher  - 2.0 Hits + Runs + RBIs
407,sspz8,BOS 104 @ MIA 103 - 5/27/23 8:40PM,o3o4E,Jaylen Brown,Lower  - 3.5 Assists
408,sspz8,PHX 90 vs MIN 81 - 5/25/23 10:00PM,o3o4E,Brittney Griner,Lower  - 8.5 Rebounds
409,sspz8,PHX 90 vs MIN 81 - 5/25/23 10:00PM,NT6cP,Diana Taurasi,Lower  - 5.0 Assists
410,sspz8,PHX 90 vs MIN 81 - 5/25/23 10:00PM,NT6cP,Diana Taurasi,Lower  - 17.5 Points
411,sspz8,PHX 90 vs MIN 81 - 5/25/23 10:00PM,o3o4E,Brittney Griner,Lower  - 20.5 Points
412,sspz8,LV 94 @ LA 85 - 5/25/23 10:00PM,NT6cP,A'ja Wilson,Lower  - 10.0 Rebounds
413,sspz8,MIN 81 @ PHX 90 - 5/25/23 10:00PM,o3o4E,Napheesa Collier,Lower  - 17.5 Points
414,sspz8,LV 94 @ LA 85 - 5/25/23 10:00PM,NT6cP,A'ja Wilson,Lower  - 18.5 Points
415,sspz8,LV 94 @ LA 85 - 5/25/23 10:00PM,o3o4E,Kelsey Plum,Lower  - 20.5 Points
416,J5xEz,BOS 116 @ MIA 99 - 5/23/23 8:40PM,o3o4E,Jayson Tatum,Higher  - 4.5 Assists
417,J5xEz,BOS 116 @ MIA 99 - 5/23/23 8:40PM,NT6cP,Malcolm Brogdon,Higher  - 10.0 Rebounds + Assists
418,vuk2U,MIA 99 vs BOS 116 - 5/23/23 8:40PM,o3o4E,Jimmy Butler,Higher  - 9.5 Points
419,sspz8,MIA 99 vs BOS 116 - 5/23/23 8:40PM,o3o4E,Jimmy Butler,Higher  - 27.5 Points
420,sspz8,BOS 116 @ MIA 99 - 5/23/23 8:40PM,NT6cP,Al Horford,Lower  - 7.0 Points
421,sspz8,MIA 99 vs BOS 116 - 5/23/23 8:40PM,o3o4E,Gabe Vincent,Higher  - 11.5 Points
422,sspz8,MIA 99 vs BOS 116 - 5/23/23 8:40PM,NT6cP,Caleb Martin,Lower  - 12.0 Points
423,sspz8,LAL 111 vs DEN 113 - 5/22/23 8:40PM,NT6cP,Austin Reaves,Higher  - 4.5 Assists
424,sspz8,LAL 111 vs DEN 113 - 5/22/23 8:40PM,o3o4E,Rui Hachimura,Higher  - 4.0 Rebounds
425,sspz8,LAL 111 vs DEN 113 - 5/22/23 8:40PM,NT6cP,LeBron James,Lower  - 9.0 Rebounds
